line,emasculation_date,pollination_date,momsp,momplant,dadsp,dadplant,vial,hr,count_date,mid_1,mid_2,mid_3,mid_4,mid_5,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,notes,status
59,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,mem,2021-1,987,24,2021-12-05,0,1,0,,,0,0,0,,,,
60,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,mem,2021-1,988,24,2021-12-05,2,2,0,,,0,0,0,,,,
61,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,kaua,1ax234-1#7,989,4,2021-12-05,3,1,0,,,0,0,0,,,,
62,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,kaua,1ax234-1#7,990,4,2021-12-05,1,0,,,,0,0,,,,,
63,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,kaua,1ax234-1#7,991,24,2021-12-05,4,3,7,,,2,5,5,,,,
64,2021-04-02,2021-04-02,kaua,Prog2x525-1#9,kaua,1ax234-1#7,992,24,2021-12-05,5,4,4,,,1,1,1,,,,
65,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,kaua,1ax525-1#20,16,4,2021-12-05,1,3,3,,,3,3,2,,,,
66,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,kaua,1ax525-1#20,17,4,2021-12-05,2,3,2,,,1,0,1,,,,
67,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,kaua,1ax525-1#20,18,24,2021-12-05,0,2,4,,,3,4,4,,,,
68,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,kaua,1ax525-1#20,19,24,2021-12-05,6,8,8,,,3,2,3,,,,
69,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,mem,5x9c-7,12,4,2021-12-05,0,0,0,,,0,0,0,,,"JP: changed dadplant C > c, changed dadsp kaua > mem",
70,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,mem,5x9c-7,13,4,2021-12-05,0,0,2,,,0,0,0,,,"JP: changed dadplant C > c, changed dadsp kaua > mem",
71,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,mem,5x9c-7,14,24,2021-12-05,0,0,0,,,0,0,0,,,"JP: changed dadplant C > c, changed dadsp kaua > mem",
72,2021-04-03,2021-04-06,kaua,Prog2x525-1#9,mem,5x9c-7,15,24,2021-12-05,2,1,0,,,0,0,0,,,"JP: changed dadplant C > c, changed dadsp kaua > mem",
73,2021-04-02,2021-04-04,mem,mem#2x201-11#6,kaua,Prog2x525-1#9,993,4,2021-12-09,3,3,4,0,,0,0,0,0,,,
74,2021-04-02,2021-04-04,mem,mem#2x201-11#6,kaua,Prog2x525-1#9,994,4,2021-12-09,3,1,4,4,,0,0,0,0,,,
75,2021-04-02,2021-04-04,mem,mem#2x201-11#6,kaua,Prog2x525-1#9,995,24,2021-12-09,7,3,5,3,5,2,2,3,1,4,,
76,2021-04-02,2021-04-04,mem,mem#2x201-11#6,kaua,Prog2x525-1#9,996,24,2021-12-09,5,4,1,2,,1,0,0,0,,,
77,2021-04-02,2021-04-04,mem,mem#2x201-11#6,mem,2021-1,997,4,2021-12-09,3,3,4,3,,1,1,0,2,,,
78,2021-04-02,2021-04-04,mem,mem#2x201-11#6,mem,2021-1,998,4,2021-12-09,2,3,6,1,5,3,2,3,1,1,,
