line,emasculation_date,pollination_date,momsp,momplant,dadsp,dadplant,vial,hr,count_date,mid_1,mid_2,mid_3,mid_4,mid_5,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,notes,status
124,2021-04-02,2021-04-05,kaua,1ax234-1#7,kaua,Prog2x525-1#9,966,24,2021-12-17,9,6,8,,,6,6,7,,,,
125,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,5x9c-7,967,4,2021-12-17,5,1,1,,,0,0,0,,,,
126,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,5x9c-7,968,4,2021-12-17,3,1,3,,,0,0,0,,,,
127,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,2021-1,977,24,2021-12-17,10,7,7,,,0,0,0,,,,
128,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,2021-1,978,24,2021-12-17,7,6,4,,,0,0,0,,,,
129,2021-04-02,2021-04-05,kaua,1ax234-1#7,kaua,1ax234-1#5,971,4,2021-12-17,3,1,2,,,0,0,0,,,,
130,2021-04-02,2021-04-05,kaua,1ax234-1#7,kaua,1ax234-1#5,972,4,2021-12-17,1,2,2,,,1,0,0,,,,
131,2021-04-02,2021-04-05,kaua,1ax234-1#7,kaua,1ax234-1#5,973,24,2021-12-17,8,3,0,,,1,3,0,,,,
132,2021-04-02,2021-04-05,kaua,1ax234-1#7,kaua,1ax234-1#5,974,24,2021-12-17,3,9,5,,,4,6,4,,,,
133,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,2021-1,975,4,2021-12-17,0,,,,,0,,,,,,
134,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,2021-1,976,4,2021-12-17,,,,,,,,,,,,no replicate cross
135,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,5x9c-7,969,24,2021-12-17,6,6,11,,,6,4,4,,,,
136,2021-04-02,2021-04-05,kaua,1ax234-1#7,mem,5x9c-7,970,24,2021-12-17,,,,,,,,,,,,no replicate cross
137,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,93,4,2022-02-03,3,0,1,,,0,0,0,,,,
138,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,94,4,2022-02-03,1,4,,,,0,3,,,,,
139,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,95,24,2022-02-03,4,5,6,,,4,3,3,,,,
140,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,96,24,2022-02-03,4,3,3,,,3,2,1,,,,
141,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,mem#2x201-11#2,97,4,2022-02-03,0,0,2,,,0,0,0,,,JP: changed dadplant 864 > mem,
142,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,mem#2x201-11#2,98,4,2022-02-03,3,1,1,,,0,0,0,,,JP: changed dadplant 864 > mem,
143,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,mem#2x201-11#2,99,24,2022-02-03,0,0,2,,,0,0,0,,,JP: changed dadplant 864 > mem,
144,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,mem#2x201-11#2,100,24,2022-02-03,4,3,4,,,0,2,0,,,JP: changed dadplant 864 > mem,
145,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,104,4,2022-02-03,0,0,,,,0,0,,,,,
146,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,105,4,2022-02-03,0,0,,,,0,0,,,,,
147,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,106,24,2022-02-03,5,4,4,,,2,3,2,,,,
148,2022-01-03,2022-01-05,kaua,1ax525-11#7,kaua,1ax234-1#10,107,24,2022-02-03,4,6,3,,,3,5,3,,,,
149,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,864 192-30,108,4,2022-02-03,0,0,0,,,0,0,0,,,,
150,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,864 192-30,109,4,2022-02-03,0,0,0,,,0,0,0,,,,
151,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,864 192-30,110,24,2022-02-03,4,4,3,,,4,3,1,,,,
152,2022-01-03,2022-01-05,kaua,1ax525-11#7,mem,864 192-30,111,24,2022-02-03,3,0,2,,,1,0,2,,,,
