momsp	momid	dadsp1	dadid1	dadsp2	dadid2	sds	type	notes
hook	794-2	kaal	3587-14			0	inter	
hook	794-2	kaal	3587-14			0	inter	
hook	794-2	kaal	3587-14			1	inter	
hook	794-2	kaal	3587-7			0	inter	
hook	794-2	kaal	3587-7			27	inter	
hook	794-2	kaal	3587-7			8	inter	
hook	794-2	kaal	3587-7			5	inter	
hook	794-2	kaal	3587-C			5	inter	
hook	794-2	kaal	3587-C			0	inter	
hook	794-2	kaal	3587-C			0	inter	
hook	794-2	kaal	3587-C			0	inter	
hook	794-2	kaal	3587-C			3	inter	
hook	794-2	kaal	892-1			4	inter	
hook	794-2	kaal	892-1			8	inter	
hook	794-2	kaal	892-1			9	inter	
hook	794-2	kaal	892-1			9	inter	
hook	794-2	kaal	892-1			6	inter	
hook	794-2	kaal	892-3			0	inter	
hook	794-2	kaal	892-4			5	inter	
hook	794-2	kaal	892-4			11	inter	
hook	794-2	kaal	892-4			14	inter	
hook	794-2	kaal	892-4			8	inter	
hook	794-2	kaal	892-5			0	inter	
hook	794-2	kaal	892-5			9	inter	
hook	794-2	kaal	892-5			0	inter	
hook	794-2	kaal	892-5			4	inter	
hook	794-2	kaal	904-2			0	inter	
hook	794-2	kaal	904-3			5	inter	
hook	794-2	kaal	904-3			0	inter	
hook	794-2	kaal	904-3			0	inter	
hook	794-2	kaal	904-5			0	inter	
hook	794-2	kaal	904-5			0	inter	
hook	794-2	kaal	904-5			10	inter	
hook	794-2	kaal	904-5			3	inter	
hook	794-4	kaal	3587-14			0	inter	
hook	794-4	kaal	3587-14			5	inter	
hook	794-4	kaal	3587-14			0	inter	
hook	794-4	kaal	3587-7			5	inter	
hook	794-4	kaal	3587-C			1	inter	
hook	794-4	kaal	892-1			4	inter	
hook	794-4	kaal	892-1			2	inter	
hook	794-4	kaal	892-3			7	inter	
hook	794-4	kaal	892-4			8	inter	
hook	794-4	kaal	892-4			3	inter	
hook	794-4	kaal	892-5			7	inter	
hook	794-4	kaal	904-2			1	inter	
hook	794-4	kaal	904-5			9	inter	
hook	794-4	kaal	904-5			0	inter	
hook	866-2	kaal	3587-14			0	inter	
hook	866-2	kaal	3587-14			2	inter	
hook	866-2	kaal	3587-14			0	inter	
hook	866-2	kaal	3587-7			2	inter	
hook	866-2	kaal	3587-7			4	inter	
hook	866-2	kaal	3587-C			0	inter	
hook	866-2	kaal	3587-C			12	inter	
hook	866-2	kaal	892-1			0	inter	
hook	866-2	kaal	892-4			6	inter	
hook	866-2	kaal	892-4			3	inter	
hook	866-2	kaal	892-4			6	inter	
hook	866-2	kaal	892-4			3	inter	
hook	866-2	kaal	904-2			1	inter	
hook	866-2	kaal	904-5			0	inter	
hook	866-2	kaal	904-5			6	inter	
hook	866-2	kaal	904-5			2	inter	
hook	866-2	kaal	904-5			0	inter	
hook	866-2	kaal	904-5			2	inter	
hook	866-2	kaal	904-5			11	inter	
hook	866-2	kaal	904-5			6	inter	
hook	87910-1	kaal	3587-14			0	inter	
hook	87910-1	kaal	3587-14			0	inter	
hook	87910-1	kaal	3587-15			11	inter	
hook	87910-1	kaal	3587-15			8	inter	
hook	87910-1	kaal	3587-7			6	inter	
hook	87910-1	kaal	3587-7			1	inter	
hook	87910-1	kaal	3587-7			4	inter	
hook	87910-1	kaal	3587-7			0	inter	
hook	87910-1	kaal	3587-7			0	inter	
hook	87910-1	kaal	3587-C			6	inter	
hook	87910-1	kaal	3587-C			0	inter	
hook	87910-1	kaal	892-1			15	inter	
hook	87910-1	kaal	892-1			1	inter	
hook	87910-1	kaal	892-1			0	inter	
hook	87910-1	kaal	892-1			0	inter	
hook	87910-1	kaal	892-1			0	inter	
hook	87910-1	kaal	892-4			10	inter	
hook	87910-1	kaal	892-4			3	inter	
hook	87910-1	kaal	892-4			0	inter	
hook	87910-1	kaal	892-4			5	inter	
hook	87910-1	kaal	892-4			0	inter	
hook	87910-1	kaal	892-5			3	inter	
hook	87910-1	kaal	904-2			0	inter	
hook	87910-1	kaal	904-2			1	inter	
hook	87910-1	kaal	904-3			0	inter	
hook	87910-1	kaal	904-3			0	inter	
hook	87910-1	kaal	904-3			2	inter	
hook	87910-1	kaal	904-5			0	inter	
hook	87910-1	kaal	904-5			3	inter	
hook	8792-2	kaal	3587-7			5	inter	
hook	8792-2	kaal	3587-7			5	inter	
hook	8792-2	kaal	892-1			17	inter	
hook	8792-2	kaal	892-1			6	inter	
hook	8792-2	kaal	892-1			18	inter	
hook	8792-2	kaal	892-3			3	inter	
hook	8792-2	kaal	892-4			5	inter	
hook	8792-2	kaal	892-4			20	inter	
hook	8792-2	kaal	892-4			19	inter	
hook	8792-2	kaal	892-5			19	inter	
hook	8792-2	kaal	892-5			14	inter	
hook	8792-2	kaal	904-2			10	inter	
hook	8792-2	kaal	904-2			14	inter	
hook	8792-2	kaal	904-3			11	inter	
hook	8792-2	kaal	904-5			6	inter	
hook	8792-2	kaal	904-5			16	inter	
hook	8792-2	kaal	904-5			8	inter	
hook	8792-2	kaal	904-5			0	inter	
hook	8793-8	kaal	3587-14			0	inter	
hook	8793-8	kaal	892-1			0	inter	
hook	8793-8	kaal	892-1			0	inter	
hook	8793-8	kaal	892-1			0	inter	
hook	8793-8	kaal	904-2			0	inter	
hook	8793-8	kaal	904-5			0	inter	
hook	879G-2	kaal	3587-14			6	inter	
hook	879G-2	kaal	3587-14			6	inter	
hook	879G-2	kaal	3587-15			9	inter	
hook	879G-2	kaal	3587-7			1	inter	
hook	879G-2	kaal	892-1			0	inter	
hook	879G-2	kaal	892-3			9	inter	
hook	879G-2	kaal	892-5			3	inter	
hook	879G-2	kaal	904-2			4	inter	
hook	879G-2	kaal	904-5			14	inter	
hook	879H-2	kaal	3587-10			0	inter	
hook	879H-2	kaal	3587-14			1	inter	
hook	879H-2	kaal	892-1			0	inter	
hook	879H-2	kaal	904-2			0	inter	
hook	879H-2	kaal	904-5			0	inter	
hook	879N-5	kaal	3587-14			0	inter	
hook	879N-5	kaal	3587-14			0	inter	
hook	879N-5	kaal	3587-7			0	inter	
hook	879N-5	kaal	3587-7			0	inter	
hook	879N-5	kaal	3587-A			9	inter	
hook	879N-5	kaal	3587-C			4	inter	
hook	879N-5	kaal	3587-C			6	inter	
hook	879N-5	kaal	3587-C			5	inter	
hook	879N-5	kaal	892-1			7	inter	
hook	879N-5	kaal	892-3			0	inter	
hook	879N-5	kaal	892-3			0	inter	
hook	879N-5	kaal	904-2			9	inter	
hook	879N-5	kaal	904-5			0	inter	
hook	879N-5	kaal	904-5			13	inter	
hook	899	kaal	3587-14			10	inter	
hook	899	kaal	3587-14			0	inter	
hook	899	kaal	892-1			12	inter	
hook	899	kaal	904-2			3	inter	
hook	899	kaal	904-5			20	inter	
hook	899	kaal	904-5			0	inter	
hook	899	kaal	904-5			10	inter	
hook	794-4	hook	794-2			23	intra	JP: changed dadsp1 kaal > hook
hook	794-4	hook	794-2			35	intra	JP: changed dadsp1 kaal > hook
hook	794-4	hook	794-2			15	intra	JP: changed dadsp1 kaal > hook
hook	794-4	hook	866-2			19	intra	JP: changed dadsp1 kaal > hook
hook	794-4	hook	866-2			14	intra	JP: changed dadsp1 kaal > hook
hook	794-4	hook	899			0	intra	JP: changed dadsp1 kaal > hook
hook	866-2	hook	794-2			0	intra	
hook	866-2	hook	794-4			11	intra	
hook	866-2	hook	794-4			14	intra	
hook	866-2	hook	794-4			10	intra	
hook	866-2	hook	794-4			12	intra	
hook	87910-1	hook	866-2			0	intra	
hook	87910-1	hook	8792-2			3	intra	
hook	87910-1	hook	8792-2			3	intra	
hook	87910-1	hook	879G-2			8	intra	
hook	87910-1	hook	879G-2			3	intra	
hook	87910-1	hook	879H-2			12	intra	
hook	87910-1	hook	879N-5			7	intra	
hook	8792-2	hook	87910-1			15	intra	
hook	8792-2	hook	87910-1			22	intra	
hook	8792-2	hook	8793-8			0	intra	
hook	8792-2	hook	879G-2			28	intra	
hook	8792-2	hook	879G-2			12	intra	
hook	8792-2	hook	879N-5			13	intra	
hook	8793-8	hook	879N-5			0	intra	
hook	879G-2	hook	87910-1			6	intra	
hook	879G-2	hook	8792-2			8	intra	
hook	879G-2	hook	8793-8			0	intra	
hook	879H-2	hook	879G-2			6	intra	
hook	879H-2	hook	879G-2			0	intra	
hook	879N-5	hook	8792-2			7	intra	
hook	879N-5	hook	8792-2			0	intra	
hook	879N-5	hook	879G-2			3	intra	
hook	879N-5	hook	879H-2			8	intra	
hook	899	hook	794-2			0	intra	
hook	794-2	hook	866-2	kaal	115-2	12	mixed	
hook	794-2	hook	866-2	kaal	115-2	26	mixed	
hook	794-2	hook	866-2	kaal	115-2	0	mixed	
hook	794-2	hook	866-2	kaal	115-2	13	mixed	
hook	794-2	hook	866-2	kaal	115-2	3	mixed	
hook	794-2	hook	866-2	kaal	115-2	17	mixed	
hook	794-2	hook	866-2	kaal	115-2	7	mixed	
hook	794-2	hook	866-2	kaal	115-2	14	mixed	
hook	794-2	hook	866-2	kaal	115-2	16	mixed	
hook	794-2	hook	866-2	kaal	115-2	15	mixed	
hook	794-2	hook	866-2	kaal	115-2	21	mixed	
hook	794-2	hook	866-2	kaal	115-2	15	mixed	
hook	794-2	hook	866-2	kaal	115-2	23	mixed	
hook	794-2	hook	866-2	kaal	115-2	25	mixed	
hook	794-2	hook	866-2	kaal	115-2	25	mixed	
hook	794-2	hook	866-2	kaal	115-2	10	mixed	
hook	794-2	hook	866-2	kaal	115-2	8	mixed	
hook	794-2	hook	866-2	kaal	115-2	17	mixed	
hook	794-2	hook	866-2	kaal	115-2	21	mixed	
hook	794-2	hook	866-2	kaal	115-2	27	mixed	
hook	794-2	hook	866-2	kaal	115-2	17	mixed	
hook	794-4	hook	794-2	kaal	892-1	25	mixed	
hook	794-4	hook	794-2	kaal	892-1	31	mixed	
hook	794-4	hook	794-2	kaal	892-1	29	mixed	
hook	794-4	hook	794-2	kaal	892-1	22	mixed	
hook	794-4	hook	794-2	kaal	892-1	25	mixed	
hook	794-4	hook	794-2	kaal	892-1	14	mixed	
hook	794-4	hook	794-2	kaal	892-1	23	mixed	
hook	794-4	hook	794-2	kaal	892-1	24	mixed	
hook	794-4	hook	794-2	kaal	892-1	14	mixed	
hook	794-4	hook	794-2	kaal	892-1	1	mixed	
hook	794-4	hook	794-2	kaal	892-1	27	mixed	
hook	794-4	hook	794-2	kaal	892-1	9	mixed	
hook	794-4	hook	794-2	kaal	892-1	12	mixed	
hook	794-4	hook	794-2	kaal	892-1	21	mixed	
hook	794-4	hook	794-2	kaal	892-1	7	mixed	
hook	794-4	hook	794-2	kaal	892-1	0	mixed	
hook	794-4	hook	794-2	kaal	892-1	20	mixed	
hook	794-4	hook	794-2	kaal	892-1	27	mixed	
hook	794-4	hook	794-2	kaal	892-4	26	mixed	
hook	794-4	hook	794-2	kaal	892-4	23	mixed	
hook	794-4	hook	794-2	kaal	892-4	19	mixed	
hook	794-4	hook	794-2	kaal	892-4	0	mixed	
hook	794-4	hook	794-2	kaal	892-4	11	mixed	
hook	794-4	hook	794-2	kaal	892-4	23	mixed	
hook	794-4	hook	866-2	kaal	115-2	0	mixed	
hook	794-4	hook	866-2	kaal	115-2	8	mixed	
hook	866-2	hook	794-2	kaal	892-4	17	mixed	
hook	866-2	hook	794-2	kaal	892-4	21	mixed	
hook	866-2	hook	794-2	kaal	892-4	10	mixed	
hook	866-2	hook	794-2	kaal	892-4	21	mixed	
hook	866-2	hook	794-2	kaal	892-4	21	mixed	
hook	866-2	hook	794-2	kaal	892-4	24	mixed	
hook	866-2	hook	794-2	kaal	892-4	17	mixed	
hook	866-2	hook	794-2	kaal	892-4	18	mixed	
hook	866-2	hook	794-2	kaal	892-4	17	mixed	
hook	866-2	hook	794-2	kaal	892-4	22	mixed	
hook	866-2	hook	794-2	kaal	892-4	15	mixed	
hook	866-2	hook	794-2	kaal	892-4	4	mixed	
hook	866-2	hook	794-2	kaal	892-4	20	mixed	
hook	866-2	hook	794-2	kaal	892-4	3	mixed	
hook	866-2	hook	794-2	kaal	892-4	22	mixed	
hook	866-2	hook	794-2	kaal	892-4	15	mixed	
hook	866-2	hook	794-2	kaal	892-4	22	mixed	
hook	866-2	hook	794-2	kaal	892-4	20	mixed	
hook	866-2	hook	794-2	kaal	892-4	21	mixed	
hook	866-2	hook	794-2	kaal	892-4	19	mixed	
hook	866-2	hook	794-2	kaal	892-4	19	mixed	
hook	866-2	hook	794-2	kaal	892-4	19	mixed	
hook	866-2	hook	794-2	kaal	892-4	8	mixed	
hook	866-2	hook	794-2	kaal	892-4	15	mixed	
hook	866-2	hook	794-2	kaal	892-4	21	mixed	
hook	866-2	hook	794-2	kaal	892-4	5	mixed	
hook	866-2	hook	794-2	kaal	892-4	15	mixed	
hook	866-2	hook	794-2	kaal	892-4	15	mixed	
hook	866-2	hook	794-2	kaal	892-4	3	mixed	
hook	866-2	hook	794-2	kaal	892-4	16	mixed	
hook	87910-1	kaal	892-5	hook	879N5	5	mixed	
hook	87910-1	kaal	892-5	hook	879N5	8	mixed	
hook	87910-1	kaal	892-5	hook	879N5	18	mixed	
hook	87910-1	kaal	892-5	hook	879N5	23	mixed	
hook	87910-1	kaal	892-5	hook	879N5	9	mixed	
hook	87910-1	kaal	892-5	hook	879N5	7	mixed	
hook	87910-1	kaal	892-5	hook	879N5	4	mixed	
hook	87910-1	kaal	892-5	hook	879N5	3	mixed	
hook	87910-1	kaal	892-5	hook	879N5	0	mixed	
hook	87910-1	kaal	892-5	hook	879N5	5	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	7	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	7	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	5	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	8	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	7	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	9	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	12	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	14	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	7	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	8	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	6	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	2	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	5	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	4	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	4	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	11	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	12	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	0	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	7	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	18	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	12	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	5	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	21	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	16	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	16	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	6	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	1	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	1	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	15	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	10	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	2	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	11	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	12	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	15	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	2	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	17	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	15	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	15	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	15	mixed	
hook	879G-2	hook	87910-1	kaal	892-5	13	mixed	
hook	879N5	hook	87910-1	kaal	115-2	0	mixed	
hook	879N5	hook	87910-1	kaal	115-2	7	mixed	
hook	879N5	hook	87910-1	kaal	115-2	3	mixed	
hook	879N5	hook	87910-1	kaal	115-2	7	mixed	
hook	879N5	hook	87910-1	kaal	115-2	11	mixed	
hook	879N5	hook	87910-1	kaal	115-2	5	mixed	
hook	879N5	hook	87910-1	kaal	115-2	16	mixed	
hook	879N5	hook	87910-1	kaal	115-2	9	mixed	
hook	879N5	hook	87910-1	kaal	115-2	8	mixed	
hook	879N5	hook	87910-1	kaal	115-2	5	mixed	
hook	879N5	hook	87910-1	kaal	115-2	3	mixed	
hook	879N5	hook	87910-1	kaal	115-2	10	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	11	mixed	
hook	879N5	hook	87910-1	kaal	115-2	9	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	9	mixed	
hook	879N5	hook	87910-1	kaal	115-2	4	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	2	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	2	mixed	
hook	879N5	hook	87910-1	kaal	115-2	0	mixed	
hook	879N5	hook	87910-1	kaal	115-2	0	mixed	
hook	879N5	hook	87910-1	kaal	115-2	4	mixed	
hook	879N5	hook	87910-1	kaal	115-2	12	mixed	
hook	879N5	hook	87910-1	kaal	115-2	4	mixed	
hook	879N5	hook	87910-1	kaal	115-2	7	mixed	
hook	879N5	hook	87910-1	kaal	115-2	3	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	3	mixed	
hook	879N5	hook	87910-1	kaal	115-2	2	mixed	
hook	879N5	hook	87910-1	kaal	115-2	2	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	3	mixed	
hook	879N5	hook	87910-1	kaal	115-2	1	mixed	
hook	879N5	hook	87910-1	kaal	115-2	5	mixed	
hook	879N5	hook	87910-1	kaal	115-2	6	mixed	
hook	879N5	hook	87910-1	kaal	115-2	0	mixed	
hook	879N5	hook	87910-1	kaal	115-2	2	mixed	
hook	879N5	hook	87910-1	kaal	115-2	0	mixed	
hook	879N5	hook	87910-1	kaal	115-2	1	mixed	
hook	879N5	hook	87910-1	kaal	115-2	0	mixed	
hook	879N5	hook	87910-1	kaal	115-2	1	mixed	
hook	879N5	hook	87910-1	kaal	115-2	1	mixed	
hook	879N5	hook	87910-1	kaal	115-2	5	mixed	
hook	879N5	hook	87910-1	kaal	115-2	3	mixed	
hook	879N5	hook	87910-1	kaal	115-2	3	mixed	
hook	879N5	hook	87910-1	kaal	115-2	1	mixed	
hook	879N5	hook	87910-1	kaal	115-2	5	mixed	
hook	879N5	hook	87910-1	kaal	115-2	0	mixed	
hook	879N5	hook	87910-1	kaal	892-5	7	mixed	
hook	879N5	hook	87910-1	kaal	892-5	3	mixed	
hook	879N5	hook	87910-1	kaal	892-5	5	mixed	
hook	879N5	hook	87910-1	kaal	892-5	4	mixed	
hook	879N5	kaal	892-4	hook	879H2	4	mixed	
hook	899	kaal	116-3	hook	866-2	27	mixed	
hook	899	kaal	116-3	hook	866-2	0	mixed	
hook	899	kaal	116-3	hook	866-2	12	mixed	
hook	899	kaal	116-3	hook	866-2	13	mixed	
hook	899	kaal	116-3	hook	866-2	0	mixed	
stell	10C	sperg	120294-8			8	inter	
stell	14B-1	sperg	120294-8			9	inter	
stell	146513B	sperg	120289-12			0	inter	
stell	146513B	sperg	120289-12			0	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120289-12			1	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120289-12			0	inter	
stell	146513B	sperg	120289-12			8	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120294-8			1	inter	
stell	146513B	sperg	120294-8			2	inter	
stell	146513B	sperg	120294-8			9	inter	
stell	146513B	sperg	120294-8			9	inter	
stell	146513B	sperg	120294-8			6	inter	
stell	146513B	sperg	120296-4			0	inter	
stell	146513B	sperg	120296-4			0	inter	
stell	146513B	sperg	120289-12			0	inter	
stell	146513B	sperg	120289-12			0	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120289-12			1	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120289-12			0	inter	
stell	146513B	sperg	120289-12			8	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120294-8			6	inter	
stell	146513B	sperg	120294-8			1	inter	
stell	146513B	sperg	120294-8			2	inter	
stell	146513B	sperg	120294-8			9	inter	
stell	146513B	sperg	120294-8			9	inter	
stell	146513B	sperg	120294-8			6	inter	
stell	146513B	sperg	120296-4			0	inter	
stell	146513B	sperg	120296-4			0	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120289-12			6	inter	
stell	146513B	sperg	120294-8			6	inter	
stell	1476510C	sperg	120289-12			6	inter	
stell	1476510C	sperg	120289-12			16	inter	
stell	1476510C	sperg	120296-4			3	inter	
stell	1476510C	sperg	120296-4			5	inter	
stell	1476510C	sperg	120296-4			5	inter	
stell	1476510C	sperg	120296-4			0	inter	
stell	1476510C	sperg	120296-4			8	inter	
stell	1476510C	sperg	120296-4			3	inter	
stell	1476510C	sperg	120296-4			8	inter	
stell	1476510C	sperg	120296-4			0	inter	
stell	1476510C	sperg	120296-4			1	inter	
stell	1476510C	sperg	120289-12			6	inter	
stell	1476510C	sperg	120289-12			16	inter	
stell	1476510C	sperg	120289-12			8	inter	
stell	1476510C	sperg	120289-12			2	inter	
stell	1476510C	sperg	120289-12			5	inter	
stell	1476510C	sperg	120289-12			2	inter	
stell	1476510C	sperg	120289-12			7	inter	
stell	1476510C	sperg	120289-12			3	inter	
stell	1476510C	sperg	120289-12			1	inter	
stell	1476510C	sperg	120289-12			3	inter	
stell	1476510C	sperg	120289-12			4	inter	
stell	1476510C	sperg	120296-4			3	inter	
stell	1476510C	sperg	120296-4			20	inter	
stell	1476510C	sperg	120296-4			5	inter	
stell	1476510C	sperg	120296-4			5	inter	
stell	1476510C	sperg	120296-4			0	inter	
stell	1476510C	sperg	120296-4			8	inter	
stell	1476510C	sperg	120296-4			3	inter	
stell	1476510C	sperg	120296-4			3	inter	
stell	1476510C	sperg	120296-4			8	inter	
stell	1476510C	sperg	120296-4			0	inter	
stell	1476510C	sperg	120296-4			1	inter	
stell	1476514B	sperg	120294-8			5	inter	
stell	1476514B	sperg	120294-8			4	inter	
stell	1476514B	sperg	120294-8			4	inter	
stell	1476514B	sperg	120294-8			2	inter	
stell	1476514B	sperg	120289-12			1	inter	
stell	1476514B	sperg	120289-12			0	inter	
stell	1476514B	sperg	120289-12			0	inter	
stell	1476514B	sperg	120294-8			5	inter	
stell	1476514B	sperg	120294-8			4	inter	
stell	1476514B	sperg	120294-8			4	inter	
stell	1476514B	sperg	120294-8			2	inter	
stell	1476514B	sperg	120294-8			2	inter	
stell	1476514B	sperg	120289-12			1	inter	
stell	1476514B	sperg	120289-12			0	inter	
stell	1476520J1	sperg	120289-12			2	inter	
stell	1476520J1	sperg	120289-12			4	inter	
stell	1476520J1	sperg	120292-5			7	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120292-5			3	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120292-5			0	inter	
stell	1476520J1	sperg	120292-5			4	inter	
stell	1476520J1	sperg	120292-5			4	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120289-12			2	inter	
stell	1476520J1	sperg	120289-12			4	inter	
stell	1476520J1	sperg	120292-5			7	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120292-5			3	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120292-5			0	inter	
stell	1476520J1	sperg	120292-5			4	inter	
stell	1476520J1	sperg	120292-5			1	inter	
stell	1476520J1	sperg	120292-5			4	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120292-5			2	inter	
stell	1476520J1	sperg	120289-12			0	inter	
stell	1476520J1	sperg	120289-12			2	inter	
stell	1476520J1	sperg	120289-12			4	inter	
stell	1476520J1	sperg	120296-4			0	inter	
stell	1476520J1	sperg	120296-4			0	inter	
stell	1476520J1	sperg	120289-12			0	inter	
stell	1476520J1	sperg	120289-12			2	inter	
stell	1476520J1	sperg	120289-12			4	inter	
stell	1476520J1	sperg	120296-4			0	inter	
stell	1476520J1	sperg	120296-4			0	inter	
stell	147656G	sperg	120294-5			5	inter	
stell	147656G	sperg	120294-5			7	inter	
stell	147656G	sperg	120294-8			8	inter	
stell	147656G	sperg	120294-8			0	inter	
stell	147656G	sperg	120294-8			3	inter	
stell	147656G	sperg	120294-8			7	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			2	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			4	inter	
stell	147656G	sperg	120296-4			3	inter	
stell	147656G	sperg	120296-4			9	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			1	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			2	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120294-5			5	inter	
stell	147656G	sperg	120294-5			5	inter	
stell	147656G	sperg	120294-5			4	inter	
stell	147656G	sperg	120294-5			5	inter	
stell	147656G	sperg	120294-5			7	inter	
stell	147656G	sperg	120294-5			2	inter	
stell	147656G	sperg	120294-5			7	inter	
stell	147656G	sperg	120294-8			8	inter	
stell	147656G	sperg	120294-8			0	inter	
stell	147656G	sperg	120294-8			3	inter	
stell	147656G	sperg	120294-8			7	inter	
stell	147656G	sperg	120294-8			9	inter	
stell	147656G	sperg	120294-8			9	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			2	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			4	inter	
stell	147656G	sperg	120296-4			3	inter	
stell	147656G	sperg	120296-4			9	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			1	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			2	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	1476514B	sperg	120294-8			9	inter	
stell	147656G	sperg	120296-4			0	inter	
stell	10C	stell	6G			7	intra	
stell	10C	stell	6G			8	intra	
stell	10C	stell	6G			5	intra	
stell	10C	stell	6G			7	intra	
stell	10C	stell	6G			0	intra	
stell	10C	stell	6G			0	intra	
stell	10C	stell	6G			0	intra	
stell	10C	stell	6G			2	intra	
stell	10C	stell	6G			11	intra	
stell	10C	stell	6G			0	intra	
stell	10C	stell	6G			6	intra	
stell	10C	stell	6G			6	intra	
stell	10C	stell	6G			11	intra	
stell	10C	stell	6G			11	intra	
stell	10C	stell	6G			7	intra	
stell	10C	stell	6G			6	intra	
stell	10C	stell	6G			0	intra	
stell	10C	stell	6G			12	intra	
stell	10C	stell	6G			9	intra	
stell	10C	stell	6G			8	intra	
stell	10C	stell	6G			7	intra	
stell	10C	stell	6G			9	intra	
