crossid	plantid	cross.manual	block1	blockAB	collect.date	regression	flrs	inflo.e	inflo	weigh.date	inflo.biomass.g	initials	check.initials	check.date	comments	use.inflo	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	fullcross	edits	sxc	sxcxm	mompid	dadpid	smompop
1	1	HH	12	NA	2017-02-14	No R	NA	1	1	2017-07-14	0.053	SS	AK	2017-08-15	NA	NA	1	341	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	2	HH	12	NA	2017-02-17	No R	NA	4	4	2017-05-18	0.075	SS	AK	2017-08-15	NA	NA	2	344	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	4	HH	11	NA	2017-02-11	No R	NA	10	10	2017-07-14	1.113	SS	AK	2017-08-15	NA	NA	3	338	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	7	HH	12	NA	2017-02-18	No R	NA	7	7	2017-07-20	0.44	SS	AK	2017-08-15	NA	NA	4	345	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	8	HH	12	NA	2017-01-20	Infls-Rplt	NA	31	32	2017-07-10	2.14	SS	AK	2017-08-15	NA	NA	5	316	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	8	HH	12	NA	2017-01-20	Regress	41	1	NA	2017-07-10	0.099	SS	AK	2017-08-15	NA	NA	6	316	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	10	HH	12	NA	2017-02-08	Infls-Rplt	NA	3	4	2017-05-18	0.082	SS	AK	2017-08-15	corrected 9/12	NA	7	335	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	10	HH	12	NA	2017-02-08	Regress	34	1	NA	2017-06-30	0.072	SS	AK	2017-08-15	NA	NA	8	335	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	11	HH	12	NA	2017-02-19	No R	NA	6	6	2017-07-24	0.497	SS	AK	2017-08-15	NA	NA	9	346	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	12	HH	12	NA	2017-01-27	Infls-Rplt	NA	10	11	2017-07-10	0.865	SS	AK	2017-08-15	NA	NA	10	323	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	12	HH	12	NA	2017-01-27	backup R	NA	1	NA	2017-07-06	0.095	SS	AK	2017-08-15	NA	NA	11	323	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	16	HH	12	NA	2017-01-21	Infls-Rplt	NA	15	16	2017-07-10	1.464	SS	AK	2017-08-15	NA	NA	12	317	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	16	HH	12	NA	2017-01-21	Regress	62	1	NA	2017-07-10	0.106	SS	AK	2017-08-15	NA	NA	13	317	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	17	HH	12	NA	2017-01-19	Infls-Rplt	NA	2	3	2017-07-21	0.078	SS	AK	2017-08-15	NA	NA	14	315	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	17	HH	12	NA	2017-01-19	Regress	38	1	NA	2017-07-21	0.078	SS	AK	2017-08-15	NA	NA	15	315	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	18	HH	12	NA	2017-02-17	No R	NA	10	10	2017-07-21	0.456	SS	AK	2017-08-15	NA	NA	16	344	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
2	2	HH	12	NA	2016-12-17	Infls-Rplt	NA	21	22	2017-07-13	1.143	SS	AK	2017-08-15	NA	NA	17	282	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	2	HH	12	NA	2016-12-17	backup R	NA	1	NA	2017-07-13	0.1	SS	AK	2017-08-15	NA	NA	18	282	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	3	HH	12	NA	2017-02-10	Infls-Rplt	NA	17	18	2017-07-14	2.502	SS	AK	2017-08-15	NA	NA	19	337	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	3	HH	12	NA	2017-02-10	Regress	51	1	NA	2017-07-14	0.128	SS	AK	2017-08-15	NA	NA	20	337	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	5	HH	12	NA	2017-02-14	Infls-Rplt	NA	25	26	2017-07-14	3.715	SS	AK	2017-08-15	NA	NA	21	341	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	5	HH	12	NA	2017-02-14	Regress	38	1	NA	2017-07-14	0.113	SS	AK	2017-08-15	NA	NA	22	341	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	6	HH	12	NA	2017-01-13	No R	NA	34	34	2017-05-17	2.716	SS	AK	2017-08-15	NA	NA	23	309	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	9	HH	12	NA	2017-02-14	No R	NA	3	3	2017-07-18	0.183	SS	AK	2017-08-15	NA	NA	24	341	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	10	HH	12	NA	2016-12-15	Infls-Rplt	NA	4	5	2017-07-13	0.21	SS	AK	2017-08-15	NA	NA	25	280	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	10	HH	12	NA	2016-12-15	Regress	42	1	NA	2017-07-13	0.086	SS	AK	2017-08-15	corrected 9/12	NA	26	280	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	12	HH	12	NA	2017-02-21	Infls-Rplt	NA	1	2	2017-05-19	0.029	SS	AK	2017-08-15	NA	NA	27	348	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	12	HH	12	NA	2017-02-21	Regress	20	1	NA	2017-05-19	0.04	SS	AK	2017-08-15	NA	NA	28	348	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	14	HH	12	NA	2017-02-17	No R	NA	3	3	2017-07-24	0.147	SS	AK	2017-08-15	NA	NA	29	344	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	15	HH	12	NA	2016-12-18	No R	NA	5	5	2017-06-26	0.689	SS	AK	2017-08-15	NA	NA	30	283	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	16	HH	12	NA	2016-12-12	Infls-Rplt	NA	13	14	2017-06-08	3.399	SS	AK	2017-08-15	NA	NA	31	277	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	16	HH	12	NA	2016-12-12	Regress	56	1	NA	2017-06-08	0.132	SS	AK	2017-08-15	NA	NA	32	277	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	17	HH	12	NA	2016-12-13	No R	NA	9	9	2017-06-19	0.45	SS	AK	2017-08-15	NA	NA	33	278	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	18	HH	12	NA	2016-12-17	Infls-Rplt	NA	6	7	2017-07-13	0.488	SS	AK	2017-08-15	NA	NA	34	282	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
2	18	HH	12	NA	2016-12-17	Regress	62	1	NA	2017-07-13	0.166	SS	AK	2017-08-15	NA	NA	35	282	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
3	1	HH	12	NA	2017-01-31	No R	NA	23	23	2017-07-07	0.889	SS	AK	2017-08-15	NA	NA	36	327	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	4	HH	12	NA	2016-12-17	No R	NA	10	10	2017-07-13	0.72	SS	AK	2017-08-15	NA	NA	37	282	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	6	HH	12	NA	2017-02-11	Infls-Rplt	NA	7	8	2017-07-14	0.466	SS	AK	2017-08-15	corrected 9/12	NA	38	338	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	6	HH	12	NA	2017-02-11	Regress	38	1	NA	2017-07-14	0.089	SS	AK	2017-08-15	NA	NA	39	338	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	8	HH	12	NA	2016-12-08	Infls-Rplt	NA	15	16	2017-06-29	2.564	SS	AK	2017-08-15	NA	NA	40	273	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	8	HH	12	NA	2016-12-08	Regress	37	1	NA	2017-06-29	0.117	SS	AK	2017-08-15	NA	NA	41	273	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	10	HH	12	NA	2016-12-16	Infls-Rplt	NA	17	18	2017-07-13	1.557	SS	AK	2017-08-15	NA	NA	42	281	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	10	HH	12	NA	2016-12-16	Regress	46	1	NA	2017-07-13	0.1	SS	AK	2017-08-15	NA	NA	43	281	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	11	HH	12	NA	2016-12-17	No R	NA	11	11	2017-07-13	0.671	SS	AK	2017-08-15	NA	NA	44	282	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	12	HH	12	NA	2017-01-12	Infls-Rplt	NA	9	10	2017-07-17	0.65	SS	AK	2017-08-15	NA	NA	45	308	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	12	HH	12	NA	2017-01-12	Regress	26	1	NA	2017-07-17	0.088	SS	AK	2017-08-15	NA	NA	46	308	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	13	HH	12	NA	2017-02-10	No R	NA	2	2	2017-07-14	0.066	SS	AK	2017-08-15	NA	NA	47	337	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	14	HH	12	NA	2017-02-08	Infls-Rplt	NA	25	26	2017-07-21	1.02	SS	AK	2017-08-15	NA	NA	48	335	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	14	HH	12	NA	2017-02-08	Regress	24	1	NA	2017-07-21	0.041	SS	AK	2017-08-15	NA	NA	49	335	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	16	HH	12	NA	2016-12-12	No R	NA	15	15	2017-05-25	1.408	SS	AK	2017-08-15	NA	NA	50	277	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	17	HH	12	NA	2016-12-16	Infls-Rplt	NA	12	13	2017-07-13	0.781	SS	AK	2017-08-15	NA	NA	51	281	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	17	HH	12	NA	2016-12-16	Regress	42	1	NA	2017-07-13	0.093	SS	AK	2017-08-15	NA	NA	52	281	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	20	HH	12	NA	2017-02-10	Infls-Rplt	NA	3	4	2017-07-14	0.164	SS	AK	2017-08-15	NA	NA	53	337	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	20	HH	12	NA	2017-02-10	Regress	30	1	NA	2017-07-14	0.066	SS	AK	2017-08-15	NA	NA	54	337	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
4	1	HH	1	B	2017-02-17	No R	NA	8	8	2017-05-18	0.29	SS	AK	2017-08-15	NA	NA	55	344	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	2	HH	1	B	2017-01-21	Infls-Rplt	NA	24	25	2017-07-10	0.844	SS	AK	2017-08-15	NA	NA	56	317	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	2	HH	1	B	2017-01-21	Regress	43	1	NA	2017-07-10	0.09	SS	AK	2017-08-15	NA	NA	57	317	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	3	HH	1	B	2017-02-19	No R	NA	26	26	2017-07-25	2.341	SS	AK	2017-08-15	NA	NA	58	346	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	4	HH	1	B	2017-02-17	No R	NA	6	6	2017-07-24	0.426	SS	AK	2017-08-15	NA	NA	59	344	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	5	HH	1	B	2017-02-14	No R	NA	11	11	2017-07-14	1.171	SS	AK	2017-08-15	NA	NA	60	341	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	6	HH	1	B	2017-02-05	Infls-Rplt	NA	3	4	2017-06-07	0.143	SS	AK	2017-08-15	NA	NA	61	332	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	6	HH	1	B	2017-02-05	Regress	88	1	NA	2017-06-07	0.158	SS	AK	2017-08-15	NA	NA	62	332	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	8	HH	1	B	2017-02-10	No R	NA	4	4	2017-07-14	0.104	SS	AK	2017-08-15	NA	NA	63	337	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	10	HH	1	B	2017-02-02	Infls-Rplt	NA	17	18	2017-05-30	1.041	SS	AK	2017-08-15	NA	NA	64	329	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	10	HH	1	B	2017-02-02	Regress	26	1	NA	2017-05-30	0.038	SS	AK	2017-08-15	NA	NA	65	329	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	12	HH	1	B	2017-02-18	No R	NA	1	1	2017-05-18	0.022	SS	AK	2017-08-15	NA	NA	66	345	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	17	HH	1	B	2017-02-18	No R	NA	14	14	2017-05-18	1.054	SS	AK	2017-08-15	NA	NA	67	345	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	19	HH	1	B	2017-02-17	No R	NA	26	26	2017-07-21	1.939	SS	AK	2017-08-15	NA	NA	68	344	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
4	20	HH	1	B	2017-02-15	No R	NA	4	4	2017-07-20	0.343	SS	AK	2017-08-15	NA	NA	69	342	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
5	1	HH	1	B	2016-12-09	Infls-Rplt	NA	9	10	2017-06-08	0.53	SS	AK	2017-08-15	NA	NA	70	274	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	1	HH	1	B	2016-12-09	Regress	32	1	NA	2017-06-08	0.082	SS	AK	2017-08-15	NA	NA	71	274	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	2	HH	1	B	2016-12-15	Infls-Rplt	NA	24	25	2017-07-17	1.687	SS	AK	2017-08-15	NA	NA	72	280	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	2	HH	1	B	2016-12-15	backup R	NA	1	NA	2017-07-17	0.143	SS	AK	2017-08-15	NA	NA	73	280	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	3	HH	1	B	2017-02-03	No R	NA	23	23	2017-07-10	1.196	SS	AK	2017-08-15	NA	NA	74	330	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	4	HH	1	B	2016-12-17	No R	NA	18	18	2017-07-13	1.123	SS	AK	2017-08-15	NA	NA	75	282	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	6	HH	1	B	2016-12-14	No R	NA	7	7	2017-05-25	0.528	SS	AK	2017-08-15	NA	NA	76	279	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	7	HH	1	B	2017-02-10	No R	NA	16	16	2017-07-19	0.642	SS	AK	2017-08-15	NA	NA	77	337	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	8	HH	1	B	2017-01-31	Infls-Rplt	NA	18	19	2017-07-07	1.116	SS	AK	2017-08-15	NA	NA	78	327	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	8	HH	1	B	2017-01-31	Regress	72	1	NA	2017-07-07	0.158	SS	AK	2017-08-15	NA	NA	79	327	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	9	HH	1	B	2017-01-25	No R	NA	14	14	2017-05-19	0.737	SS	AK	2017-08-15	NA	NA	80	321	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	10	HH	1	B	2017-02-11	No R	NA	23	23	2017-07-14	2.004	SS	AK	2017-08-15	NA	NA	81	338	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	11	HH	1	B	2017-01-13	Infls-Rplt	NA	22	23	2017-05-17	1.124	SS	AK	2017-08-15	NA	NA	82	309	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	11	HH	1	B	2017-01-13	backup R	NA	1	NA	2017-05-24	0.117	SS	AK	2017-08-15	NA	NA	83	309	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	12	HH	1	B	2017-02-02	No R	NA	1	1	2017-05-30	0.005	SS	AK	2017-08-15	low biomass checked-ok	NA	84	329	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	13	HH	1	B	2016-12-12	Infls-Rplt	NA	24	25	2017-05-25	1.888	SS	AK	2017-08-15	NA	NA	85	277	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	13	HH	1	B	2016-12-12	Regress	51	1	NA	2017-05-25	0.115	SS	AK	2017-08-15	NA	NA	86	277	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	14	HH	1	B	2017-02-11	No R	NA	15	15	2017-07-14	0.89	SS	AK	2017-08-15	NA	NA	87	338	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	15	HH	1	B	2017-02-12	No R	NA	4	4	2017-07-18	0.22	SS	AK	2017-08-15	NA	NA	88	339	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	16	HH	1	B	2016-12-15	No R	NA	16	16	2017-07-17	0.672	SS	AK	2017-08-15	NA	NA	89	280	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	17	HH	1	B	2017-02-18	No R	NA	24	24	2017-06-29	2.591	SS	AK	2017-08-15	NA	NA	90	345	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
5	18	HH	1	B	2016-12-12	Infls-Rplt	NA	15	16	2017-05-25	1.067	SS	AK	2017-08-15	NA	NA	91	277	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	NA	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
