crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
34	2	1	B	NA	2016-12-15	7.51	2017-08-03	NA	11	280	879WKG	G-2	hook	WK	4	hook	between	HH	879-G-2 x 794-4	hook.between	hook.between.879WKG.G-2	879WKG.G-2	WK.4	hook879WKG
3	11	12	NA	NA	2016-12-17	7.65	2017-08-03	NA	12	282	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
3	10	12	NA	NA	2016-12-17	7.69	2017-08-03	NA	13	282	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
58	1	10	A	NA	2016-12-16	25.14	2017-08-03	NA	14	281	879WKG	N-5	hook	3587WP	C	kaal	hybrid	HK	879-N-5 x 3587-C	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	3587WP.C	hook879WKG
90	4	1	A	NA	2016-12-15	9.58	2017-08-03	NA	15	280	WK	2	hook	879WKG	10-1	hook	between	HH	866-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
90	17	1	A	NA	2016-12-15	7.21	2017-08-03	NA	16	280	WK	2	hook	879WKG	10-1	hook	between	HH	866-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
65	5	11	NA	NA	2016-12-17	9.68	2017-08-03	NA	17	282	WK	2	hook	WK	2E	hook	within	HH	794-2 x 899-2E	hook.within	hook.within.WK.2	WK.2	WK.2E	hookWK
89	5	1	A	NA	2016-12-16	11.33	2017-08-03	NA	18	281	WK	2	hook	879WKG	2-2	hook	between	HH	866-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
19	3	1	B	NA	2016-12-17	9.3	2017-08-03	NA	19	282	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 794-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
21	17	1	B	NA	2016-12-17	14.38	2017-08-03	NA	20	282	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 866-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
60	14	1	A	NA	2016-12-15	11.05	2017-08-03	NA	21	280	WK	2	hook	879WKG	10-1	hook	between	HH	794-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
2	2	12	NA	NA	2016-12-17	8.65	2017-08-03	NA	22	282	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
