dadgeneration	momgeneration	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	pollinationid	crossid	pollendonor	emasculation.date	pollination.date	viable.seeds	inviable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	368	49-1	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	369	49-1	H	2019-05-31	2019-06-04	1	1	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	372	49-1	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	373	49-1	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2 x 892-4 ID 12	879WKG	2-2	892WKG	4 ID 12	102	54-4	H	2018-11-23	2018-11-27	5	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	367	61-8	H	2019-05-31	2019-06-04	0	0	Capsule aborted before bagging; bagged	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	45	61-8	H	2018-11-09	2018-11-13	13	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	363	61-8	H	2019-05-31	2019-06-04	11	2	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	364	61-8	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	365	61-8	H	2019-05-31	2019-06-04	5	2	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	366	61-8	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	43	78-7	H	2018-11-09	2018-11-13	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	355	78-7	H	2019-05-24	2019-05-28	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	356	78-7	H	2019-05-24	2019-05-28	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	361	78-11	H	2019-05-24	2019-05-28	0	0	Partially closed	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	357	78-11	H	2019-05-24	2019-05-28	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	360	78-11	H	2019-05-24	2019-05-28	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	362	78-11	H	2019-05-24	2019-05-28	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2 x 892-4 ID 12	879WKG	2-2	892WKG	4 ID 12	78	54-2	K	2018-11-16	2018-11-20	4	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2 x 892-4 ID 12	879WKG	2-2	892WKG	4 ID 12	71	54-4	K	2018-11-16	2018-11-20	1	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	26	61-8	K	2018-11-02	2018-11-06	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	27	61-8	K	2018-11-02	2018-11-06	0	1	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	28	61-8	K	2018-11-02	2018-11-06	2	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	29	61-8	K	2018-11-02	2018-11-06	10	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	30	61-8	K	2018-11-02	2018-11-06	4	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	31	61-8	K	2018-11-02	2018-11-06	6	1	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	76	61-8	K	2018-11-16	2018-11-20	7	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	296	78-1	K	2019-04-19	2019-04-23	2	1	Capsule aborted after bagging	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	88	78-1	K	2018-11-16	2018-11-20	0	3	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	112	78-1	K	2018-11-23	2018-11-27	4	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	74	78-7	K	2018-11-16	2018-11-20	2	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	306	78-7	K	2019-04-26	2019-04-30	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	308	78-7	K	2019-04-26	2019-04-30	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	353	78-7	K	2019-05-24	2019-05-28	3	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	95	78-11	K	2018-11-16	2018-11-20	0	1	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	302	78-11	K	2019-04-19	2019-04-23	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	303	78-11	K	2019-04-19	2019-04-23	2	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 2-2 x 892-10 ID 1	879WKG	2-2	892WKG	10 ID 1	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	305	78-11	K	2019-04-19	2019-04-23	0	1	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	347	131-1	H	2019-05-17	2019-05-21	0	0	Partially closed	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	348	131-1	H	2019-05-17	2019-05-21	0	0	Partially closed	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	146	137-1	H	2019-01-11	2019-01-15	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	144	137-1	H	2019-01-11	2019-01-15	1	0	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	351	162-2	H	2019-05-24	2019-05-28	0	0	Branch seemed to be dying	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	103	162-2	H	2018-11-23	2018-11-27	18	0	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	136	162-2	H	2019-01-11	2019-01-15	9	16	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	350	162-2	H	2019-05-24	2019-05-28	0	2	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	352	162-2	H	2019-05-24	2019-05-28	18	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	152	177-2	H	2019-01-18	2019-01-22	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	142	177-2	H	2019-01-11	2019-01-15	0	3	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 G-2 ID 3	904WPG	5	879WKG	G-2 ID 3	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	98	180-1	H	2018-11-16	2018-11-20	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	32	131-3	K	2018-11-02	2018-11-06	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	33	131-3	K	2018-11-02	2018-11-06	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	34	131-3	K	2018-11-02	2018-11-06	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	35	131-3	K	2018-11-02	2018-11-06	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	44	131-3	K	2018-11-09	2018-11-13	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	46	131-3	K	2018-11-09	2018-11-13	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	4	131-3	K	2018-10-31	2018-11-06	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	36	131-3	K	2018-11-02	2018-11-06	0	0	Capsule aborted before bagging; not bagged	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	37	131-3	K	2018-11-02	2018-11-06	0	0	Capsule aborted before bagging; not bagged	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	143	137-1	K	2019-01-11	2019-01-15	0	0	Capsule aborted before bagging; not bagged	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	346	137-1	K	2019-05-17	2019-05-21	0	0	Partially closed, capsule aborted before bagging; not bagged	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	343	137-1	K	2019-05-17	2019-05-21	0	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	134	137-6	K	2019-01-11	2019-01-15	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	25	162-2	K	2018-11-02	2018-11-06	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	77	162-2	K	2018-11-16	2018-11-20	13	0	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	135	162-2	K	2019-01-11	2019-01-15	6	4	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	138	162-2	K	2019-01-11	2019-01-15	15	2	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	349	162-2	K	2019-05-24	2019-05-28	8	3	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	85	177-2	K	2018-11-16	2018-11-20	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	110	177-2	K	2018-11-23	2018-11-27	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	151	177-2	K	2019-01-18	2019-01-22	0	0	Capsule aborted after bagging	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	55	177-2	K	2018-11-09	2018-11-13	0	1	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	141	177-2	K	2019-01-11	2019-01-15	0	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	69	36-1	H	2018-11-09	2018-11-13	0	2	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	70	36-1	H	2018-11-09	2018-11-13	0	0	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	93	36-1	H	2018-11-16	2018-11-20	0	1	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	94	36-1	H	2018-11-16	2018-11-20	0	1	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	119	36-1	H	2018-11-23	2018-11-27	0	3	NA	FALSE	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	165	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	167	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	168	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	169	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	170	66-1	H	2019-01-25	2019-01-29	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	58	66-1	H	2018-11-09	2018-11-13	2	0	NA	TRUE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	235	67-1	H	2019-02-22	2019-02-26	0	0	Capsule aborted after bagging	FALSE	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
