dadgeneration	momgeneration	date	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crossid	V1	I1	V2	I2	V3	I3	V4	I4	V5	I5	V6	I6	V7	I7	V8	I8	V9	I9	V10	I10	v	i	vpf	ipf	vp	tpf	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	P	2018-08-30	879 10-1 C1	NA	NA	NA	NA	879 10-1 x 904-3 ID 2	879WKG	10-1	904WPG	3 ID 2	36-4	43	8	61	8	36	4	44	15	40	5	33	6	34	8	44	3	33	5	29	4	39.7	6.6	8821.34	1466.52	0.8574514038876889	10287.86	879WKG	10-1 C1	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-07-25	879 10-1	NA	NA	NA	NA	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	38-1	16	19	15	15	6	11	18	25	10	25	14	22	12	16	15	15	12	15	17	20	13.5	18.3	2999.7	4066.2599999999998	0.42452830188679247	7065.959999999999	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-27	879 10-1	NA	NA	NA	NA	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	39-1	23	22	19	15	24	24	27	22	31	29	27	19	21	20	22	20	26	13	20	15	24	19.9	5332.799999999999	4421.78	0.5466970387243736	9754.579999999998	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-11	879 10-1	NA	NA	NA	NA	904-2 x 879 2-2 ID 5	904WPG	2	879WKG	2-2 ID 5	40-2	0	1	0	0	0	0	0	0	0	1	0	1	1	3	0	1	0	0	0	0	0.1	0.7	22.22	155.54	0.125	177.76	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-08-15	3587-14	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	4-1	14	36	18	32	17	39	13	35	9	29	11	33	10	31	7	33	25	40	24	35	14.8	34.3	3288.56	7621.459999999999	0.3014256619144603	10910.019999999999	3587WP	14	NA	NA	PF	NA	NA	kaal	hook	kaal	NA	K	KH	K x KH
F	P	2018-08-23	879 10-1	NA	NA	NA	NA	904-3 x 879 G-2 ID 1	904WPG	3	879WKG	G-2 ID 1	42-3	10	24	13	30	13	29	19	32	11	21	13	21	16	21	5	23	12	24	6	22	11.8	24.7	2621.96	5488.339999999999	0.32328767123287677	8110.299999999999	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-07-27	879 10-1 large	NA	NA	NA	NA	904-3 x 879 H-2	904WPG	3	879WKG	H-2	43-9	19	16	12	11	17	18	24	19	13	19	19	14	7	12	22	15	21	9	21	17	17.5	15	3888.5	3333	0.5384615384615384	7221.5	879WKG	10-1 large	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-08-20	879 10-1 large	NA	NA	NA	NA	904-3 x 879 H-2 ID 1	904WPG	3	879WKG	H-2 ID 1	44-9	37	10	31	5	32	4	27	4	28	7	33	6	39	11	37	5	34	4	34	4	33.2	6	7377.039999999999	1333.1999999999998	0.8469387755102041	8710.239999999998	879WKG	10-1 large	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-08-15	879 10-1	NA	NA	NA	NA	3587-7 x 879 G-2 ID 4	3587WP	7	879WKG	G-2 ID 4	47-3	39	4	32	6	44	8	39	6	49	12	30	6	58	10	49	9	59	8	36	7	43.5	7.6	9665.699999999999	1688.7199999999998	0.8512720156555773	11354.419999999998	879WKG	10-1	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
F	P	2018-08-13	879 2-2	NA	NA	NA	NA	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	64-5	28	16	28	21	39	34	26	25	36	20	25	22	39	29	31	30	39	35	38	23	32.9	25.5	7310.379999999999	5666.0999999999985	0.5633561643835617	12976.479999999998	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-07-23	879 2-2	NA	NA	NA	NA	879 10-1 x 892-3 ID 8	879WKG	10-1	892WKG	3 ID 8	65-3	29	23	31	24	39	29	38	18	41	23	42	27	55	36	46	38	32	22	40	26	39.3	26.6	8732.46	5910.52	0.5963581183611533	14642.98	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-07-13	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 2	879WKG	G-2	904WPG	5 ID 2	66-6	9	18	10	16	8	21	6	14	8	16	6	17	7	16	11	14	5	13	6	14	7.6	15.9	1688.7199999999998	3532.98	0.3234042553191489	5221.7	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-07-13	879 2-2	NA	NA	NA	NA	879 G-2 x 904-5 ID 1	879WKG	G-2	904WPG	5 ID 1	67-1	26	24	29	37	23	25	15	28	22	20	21	15	22	16	25	26	14	24	23	14	22	22.9	4888.4	5088.379999999999	0.48997772828507796	9976.779999999999	879WKG	2-2	NA	NA	PF	NA	NA	hook	kaal	hook	NA	H	HK	H x HK
F	P	2018-07-09	879 2-2	NA	NA	NA	NA	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	68-6	25	36	14	38	12	39	11	36	23	54	16	35	19	49	10	36	21	50	16	37	16.7	41	3710.74	9110.199999999999	0.28942807625649913	12820.939999999999	879WKG	2-2	NA	NA	PF	NA	NA	kaal	hook	hook	NA	H	KH	H x KH
