crossid	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	planted	germinated	prop.germ	sxc	sxcxm	mompid	dadpid	smompop	half.germ.day
225	3587WP	A	kaal	WK	2 c2	hook	hybrid	8	1	0.125	kaal.hybrid	kaal.hybrid.3587.A	3587.A	794.2 c2	kaal3587	33.999999999960266
226	3587WP	A	kaal	WK	2 c1	hook	hybrid	7	0	0	kaal.hybrid	kaal.hybrid.3587.A	3587.A	866.2 c1	kaal3587	NA
227	3587WP	A	kaal	904WPG	5	kaal	between	10	5	0.5	kaal.between	kaal.between.3587.A	3587.A	904.5	kaal3587	27.99982012274906
228	3587WP	A	kaal	3587WP	7	kaal	within	1	0	0	kaal.within	kaal.within.3587.A	3587.A	3587.7	kaal3587	NA
229	3587WP	A	kaal	3587WP	14	kaal	within	11	3	0.2727272727272727	kaal.within	kaal.within.3587.A	3587.A	3587.14	kaal3587	31.999999981058842
230	3587WP	C	kaal	879WKG	10-1	hook	hybrid	3	0	0	kaal.hybrid	kaal.hybrid.3587.C	3587.C	879.10-1	kaal3587	NA
231	3587WP	C	kaal	879WKG	N-5 c2	hook	hybrid	8	0	0	kaal.hybrid	kaal.hybrid.3587.C	3587.C	879.N-5 c2	kaal3587	NA
232	3587WP	C	kaal	WK	2	hook	hybrid	7	3	0.42857142857142855	kaal.hybrid	kaal.hybrid.3587.C	3587.C	866.2	kaal3587	25.323069590152198
233	3587WP	C	kaal	892WKG	3	kaal	between	7	4	0.5714285714285714	kaal.between	kaal.between.3587.C	3587.C	892.3	kaal3587	27.245382115780057
234	3587WP	C	kaal	892WKG	4	kaal	between	10	7	0.7	kaal.between	kaal.between.3587.C	3587.C	892.4	kaal3587	20.76205537736779
235	3587WP	C	kaal	904WPG	5	kaal	between	8	5	0.625	kaal.between	kaal.between.3587.C	3587.C	904.5	kaal3587	21.93343046558125
236	3587WP	C	kaal	3587WP	14	kaal	within	5	1	0.2	kaal.within	kaal.within.3587.C	3587.C	3587.14	kaal3587	18.001398415998068
