index,species,pop,source,plant_id,sex,habitat,seeds_weighed,total_mass_mg,notes,notes2
93,S.sali,842,F,107,2,D,25,5.271,,
94,S.sali,842,F,107,2,D,25,4.895,,
95,S.sali,842,F,107,2,D,25,4.983,,
96,S.sali,842,F,107,2,D,25,4.39,,
97,S.sali,842,F,107,2,D,25,4.21,,
98,S.sali,842,F,107,2,D,25,4.279,,
99,S.sali,842,F,112,2,D,25,6.19,,
100,S.sali,842,F,112,2,D,14,3.422,,
101,S.sali,842,F,112,2,D,25,6.636,,
102,S.sali,842,F,112,2,D,2,0.556,,
103,S.sali,842,F,117,2,D,25,5.491,,
104,S.sali,842,F,117,2,D,25,5.424,,
105,S.sali,842,F,117,2,D,22,4.567,,
106,S.sali,842,F,123,2,D,25,4.121,,
107,S.sali,842,F,123,2,D,25,4.302,,
108,S.sali,842,F,123,2,D,25,4.418,,
109,S.sali,842,F,129,2,D,15,3.584,,
110,S.sali,842,F,135,2,D,25,4.175,,
111,S.sali,842,F,135,2,D,25,3.936,,
112,S.sali,842,F,135,2,D,14,2.243,,
113,S.sali,842,F,136,2,D,1,0.241,,
114,S.sali,842,F,136,2,D,24,5.324,,
115,S.sali,842,F,143,2,D,25,4.156,,
116,S.sali,842,F,143,2,D,25,4.314,,
117,S.sali,842,F,143,2,D,25,4.274,,
118,S.sali,842,F,143,2,D,25,4.544,,
119,S.sali,842,F,143,2,D,11,2.019,,
120,S.sali,842,F,143,2,D,12,2.125,,
121,S.sali,842,F,145,2,D,25,3.693,,
122,S.sali,842,F,145,2,D,25,3.51,,
123,S.sali,842,F,145,2,D,25,3.167,,
124,S.sali,842,F,145,2,D,25,3.798,,
125,S.sali,842,F,145,2,D,25,3.802,,
126,S.sali,842,F,145,2,D,25,3.48,,
127,S.sali,842,F,145,2,D,25,4.485,,
128,S.sali,842,F,145,2,D,25,4.364,,
129,S.sali,842,F,145,2,D,14,2.359,,
130,S.sali,842,F,145,2,D,14,2.473,,
131,S.sali,842,F,147,2,D,25,4.707,,
132,S.sali,842,F,147,2,D,25,4.401,,
