dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	viable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	F	129	892-4 x 879-G2ID2	892WKG	4	879WKG	G2ID2	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	130	892-4 x 879-G2ID2	892WKG	4	879WKG	G2ID2	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	FF	5	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	131	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	3587-14 x 879-10-1ID3	3587WP	14	879WKG	10-1ID3	FF	7	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	132	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	3587-14 x 879-10-1ID3	3587WP	14	879WKG	10-1ID3	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	133	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	3587-14 x 879-10-1ID3	3587WP	14	879WKG	10-1ID3	FF	2	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	134	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	3587-14 x 879-10-1ID3	3587WP	14	879WKG	10-1ID3	FF	4	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	135	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	3587-14 x 879-10-1ID3	3587WP	14	879WKG	10-1ID3	FF	4	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	136	3587-7 x 879-G2ID4	3587WP	7	879WKG	G2ID4	3587-14 x 879-10-1ID3	3587WP	14	879WKG	10-1ID3	FF	2	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	155	879-10-1 x 892-1ID1	879WKG	10-1	892WKG	1ID1	879-2-2 x 892-10.ID7	879WKG	2-2	892WKG	10.ID7	FF	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	156	879-10-1 x 892-1ID1	879WKG	10-1	892WKG	1ID1	879-2-2 x 892-10.ID7	879WKG	2-2	892WKG	10.ID7	FF	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	157	879-10-1 x 892-1ID1	879WKG	10-1	892WKG	1ID1	879-2-2 x 892-10.ID7	879WKG	2-2	892WKG	10.ID7	FF	1	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	158	879-10-1 x 892-1ID1	879WKG	10-1	892WKG	1ID1	879-2-2 x 892-10.ID7	879WKG	2-2	892WKG	10.ID7	FF	1	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	159	879-10-1 x 892-1ID1	879WKG	10-1	892WKG	1ID1	879-2-2 x 892-10.ID7	879WKG	2-2	892WKG	10.ID7	FF	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	161	904-3 x 879-H-2ID4	904WPG	3	879WKG	H-2ID4	904-2 x 879-10-1ID10	904WPG	2	879WKG	10-1ID10	FF	2	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
