set	id	date	cell	fullcross	mompop	momid	dadpop	dadid	V1	I1	V2	I2	V3	I3	V4	I4	V5	I5	V6	I6	V7	I7	V8	I8	V9	I9	V10	I10	crosstype	comments	v	i	vpf	ipf	vp	tpf	momsp	dadsp	cross	sxc	sxcxm	mompid	smompop
3	63-2	2016-10-04	5	794-2 x 794-4	WK	2	WK	4	31	8	40	9	40	5	44	7	25	8	37	1	31	5	27	2	35	0	23	8	within	NA	33.3	5.3	7399.259999999999	1177.6599999999999	0.8626943005181348	8576.919999999998	hook	hook	HH	hook.within	hook.within.794.2	794.2	hook794
3	63-16	2016-10-07	2	794-3 x 794-2	WK	3	WK	2	62	0	43	3	55	0	42	0	67	2	77	0	58	1	69	0	56	0	48	1	within	NA	57.7	0.7	12820.94	155.54	0.9880136986301369	12976.480000000001	hook	hook	HH	hook.within	hook.within.794.3	794.3	hook794
3	15-3	2016-10-14	6	879 10-1 x 879 2-2	879WKG	10-1	879WKG	2-2	34	5	32	2	39	1	29	3	52	2	48	1	31	1	31	2	41	2	48	1	within	NA	38.5	2	8554.699999999999	444.4	0.9506172839506173	8999.099999999999	hook	hook	HH	hook.within	hook.within.879.10-1	879.10-1	hook879
3	17-2	2016-10-11	4	879 10-1 x 879 H-2	879WKG	10-1	879WKG	H-2	35	9	26	11	20	9	34	12	43	13	41	15	23	8	33	20	24	11	21	11	within	NA	30	11.9	6666	2644.1800000000003	0.7159904534606205	9310.18	hook	hook	HH	hook.within	hook.within.879.10-1	879.10-1	hook879
3	1-13	2016-10-10	4	879 2-2 x 879 G-2	879WKG	2-2	879WKG	G-2	51	2	35	4	45	0	32	4	25	0	44	2	23	2	44	1	28	1	41	2	within	JP: changed V4=332 to 32	36.8	1.8	8176.959999999999	399.9599999999999	0.9533678756476685	8576.919999999998	hook	hook	HH	hook.within	hook.within.879.2-2	879.2-2	hook879
3	1-3	2016-11-04	3	879 2-2 x 879 G-2	879WKG	2-2	879WKG	G-2	27	7	43	9	47	7	28	2	37	4	35	2	29	2	41	6	34	2	47	1	within	NA	36.8	4.2	8176.959999999999	933.24	0.8975609756097561	9110.199999999999	hook	hook	HH	hook.within	hook.within.879.2-2	879.2-2	hook879
3	48-3	2016-10-06	5	879 N-5 x 879 H-2	879WKG	N-5	879WKG	H-2	25	2	30	1	26	4	33	2	35	4	27	1	16	0	28	1	24	1	32	4	within	NA	27.6	2	6132.72	444.4	0.9324324324324325	6577.12	hook	hook	HH	hook.within	hook.within.879.N-5	879.N-5	hook879
3	115-1	2016-10-21	2	892-1 x 892-4	892WKG	1	892WKG	4	10	50	22	48	19	70	15	58	18	45	3	32	19	65	16	58	26	55	18	46	within	NA	16.6	52.7	3688.5199999999995	11709.940000000002	0.23953823953823947	15398.460000000003	kaal	kaal	KK	kaal.within	kaal.within.892.1	892.1	kaal892
3	115-2	2016-11-04	8	892-1 x 892-4	892WKG	1	892WKG	4	72	10	64	15	72	12	62	14	60	11	67	10	36	8	50	14	39	11	44	10	within	NA	56.6	11.5	12576.52	2555.2999999999997	0.8311306901615272	15131.82	kaal	kaal	KK	kaal.within	kaal.within.892.1	892.1	kaal892
3	116-2	2017-03-10	5	892-1 x 892-5	892WKG	1	892WKG	5	24	1	19	1	30	1	24	1	15	4	24	1	28	2	29	0	20	6	15	2	within	NA	22.8	1.9	5066.16	422.17999999999995	0.923076923076923	5488.34	kaal	kaal	KK	kaal.within	kaal.within.892.1	892.1	kaal892
3	125-1	2016-11-21	5	892-3 x 892-1	892WKG	3	892WKG	1	63	7	65	4	36	4	56	3	24	7	33	3	20	3	48	4	36	5	48	3	within	NA	42.9	4.3	9532.38	955.4599999999999	0.9088983050847458	10487.839999999998	kaal	kaal	KK	kaal.within	kaal.within.892.3	892.3	kaal892
3	140-1	2016-10-11	3	892-5 x 892-4	892WKG	5	892WKG	4	34	3	30	3	39	8	27	5	34	6	29	9	38	4	21	2	32	7	43	10	within	NA	32.7	5.7	7265.9400000000005	1266.54	0.8515625000000001	8532.48	kaal	kaal	KK	kaal.within	kaal.within.892.5	892.5	kaal892
3	140-6	2016-11-04	10	892-5 x 892-4	892WKG	5	892WKG	4	25	36	24	32	28	39	26	34	31	34	35	25	16	24	11	30	18	22	22	31	within	NA	23.6	30.7	5243.92	6821.539999999999	0.4346224677716391	12065.46	kaal	kaal	KK	kaal.within	kaal.within.892.5	892.5	kaal892
3	140-3	2016-11-07	5	892-5 x 892-4	892WKG	5	892WKG	4	75	5	50	1	104	4	72	5	59	1	42	3	63	4	55	4	110	3	38	3	within	NA	66.8	3.3	14842.96	733.26	0.9529243937232524	15576.22	kaal	kaal	KK	kaal.within	kaal.within.892.5	892.5	kaal892
3	158-2	2016-10-07	1	904-2 x 904-5	904WPG	2	904WPG	5	66	3	49	1	57	4	68	1	62	1	61	5	62	2	56	0	82	3	54	0	within	NA	61.7	2	13709.74	444.4	0.9686028257456829	14154.14	kaal	kaal	KK	kaal.within	kaal.within.904.2	904.2	kaal904
3	168-8	2016-10-06	3	904-3 x 904-2	904WPG	3	904WPG	2	28	14	37	26	32	21	44	18	30	19	37	19	16	20	16	24	34	22	31	18	within	NA	30.5	20.1	6777.0999999999995	4466.22	0.6027667984189723	11243.32	kaal	kaal	KK	kaal.within	kaal.within.904.3	904.3	kaal904
3	168-11	2016-10-31	5	904-3 x 904-2	904WPG	3	904WPG	2	26	10	25	6	34	10	41	14	25	9	26	8	31	8	37	12	24	15	31	11	within	NA	30	10.3	6666	2288.66	0.7444168734491315	8954.66	kaal	kaal	KK	kaal.within	kaal.within.904.3	904.3	kaal904
3	168-12	2016-11-04	6	904-3 x 904-2	904WPG	3	904WPG	2	38	1	34	1	25	1	39	0	53	0	49	1	28	3	43	1	36	2	57	0	within	NA	40.2	1	8932.44	222.2	0.9757281553398057	9154.640000000001	kaal	kaal	KK	kaal.within	kaal.within.904.3	904.3	kaal904
3	184-20	2016-10-24	1	904-5 x 904-3	904WPG	5	904WPG	3	83	2	49	0	62	3	17	4	66	1	56	3	49	2	70	4	46	9	49	3	within	NA	54.7	3.1	12154.34	688.8199999999999	0.9463667820069205	12843.16	kaal	kaal	KK	kaal.within	kaal.within.904.5	904.5	kaal904
3	184-5	2017-02-28	4	904-5 x 904-3	904WPG	5	904WPG	3	35	2	35	4	40	2	56	1	41	4	63	1	43	4	36	1	59	4	47	3	within	NA	45.5	2.6	10110.1	577.72	0.945945945945946	10687.82	kaal	kaal	KK	kaal.within	kaal.within.904.5	904.5	kaal904
