index,page,species,pop,source,plant_id,sex,habitat,viable_seeds,inviable_seeds,notes,notes2,notes3,notes4,notes5
50,3,S.adam,847,Field,307,H,D,9,0,SD-double checked,,,,
51,3,S.adam,847,Field,307,H,D,7,0,SD-double checked,,,,
52,3,S.adam,847,Field,307,H,D,7,0,SD-double checked,,,,
53,3,S.adam,847,Field,307,H,D,11,0,SD-double checked,,,,
54,3,S.adam,847,Field,307,H,D,13,0,SD-double checked,,,,
55,3,S.adam,847,Field,307,H,D,17,0,SD-double checked,,,,
56,3,S.adam,847,Field,307,H,D,13,0,SD-double checked,,,,
57,3,S.adam,847,Field,307,H,D,13,0,SD-double checked,,,,
58,3,S.adam,847,Field,307,H,D,12,0,SD-double checked,,,,
59,3,S.adam,847,Field,307,H,D,12,0,SD-double checked,,,,
60,3,S.adam,847,Field,307,H,D,13,0,SD-double checked,,,,
61,3,S.adam,847,Field,307,H,D,16,0,SD-double checked,,,,
62,3,S.adam,847,Field,307,H,D,6,0,SD-double checked,,,,
63,3,S.adam,847,Field,307,H,D,12,0,SD-double checked,,,,
64,3,S.adam,847,Field,307,H,D,15,0,SD-double checked,,,,
65,3,S.adam,847,Field,307,H,D,6,0,SD-double checked,,,,
66,3,S.adam,847,Field,307,H,D,7,0,SD-double checked,,,,
67,3,S.adam,847,Field,307,H,D,9,0,SD-double checked,,,,
68,3,S.adam,847,Field,307,H,D,11,0,SD-double checked,,,,
69,3,S.adam,847,Field,307,H,D,7,0,SD-double checked,,,,
70,3,S.adam,847,Field,307,H,D,9,0,SD-double checked,,,,
71,3,S.adam,847,Field,307,H,D,11,0,SD-double checked,,,,
72,3,S.adam,847,Field,307,H,D,8,0,SD-double checked,,,,
73,3,S.adam,847,Field,307,H,D,7,0,SD-double checked,,,,
74,3,S.adam,847,Field,307,H,D,14,0,SD-double checked,,,,
75,3,S.adam,847,Field,307,H,D,8,0,SD-double checked,,,,
76,3,S.adam,847,Field,307,H,D,6,0,SD-double checked,,,,
77,3,S.adam,847,Field,307,H,D,13,0,SD-double checked,,,,
78,3,S.adam,847,Field,307,H,D,12,0,SD-double checked,,,,
79,3,S.adam,847,Field,307,H,D,11,0,SD-double checked,,,,
80,3,S.adam,847,Field,307,H,D,9,0,SD-double checked,,,,
81,3,S.adam,847,Field,307,H,D,14,0,SD-double checked,,,,
82,3,S.adam,847,Field,307,H,D,16,0,SD-double checked,,,,
83,3,S.adam,847,Field,307,H,D,14,0,SD-double checked,,,,
84,3,S.adam,847,Field,307,H,D,14,0,SD-double checked,,,,
85,3,S.adam,847,Field,307,H,D,11,0,SD-double checked,,,,
86,3,S.adam,847,Field,307,H,D,12,0,SD-double checked,,,,
87,3,S.adam,847,Field,307,H,D,12,0,SD-double checked,,,,
88,3,S.adam,847,Field,307,H,D,16,0,SD-double checked,,,,
89,3,S.adam,847,Field,307,H,D,14,0,SD-double checked,,,,
90,4,S.adam,847,Field,106,H,D,20,0,SD-double checked,,,,
91,4,S.adam,847,Field,106,H,D,18,0,SD-double checked,,,,
92,4,S.adam,847,Field,106,H,D,16,0,SD-double checked,,,,
93,4,S.adam,847,Field,106,H,D,22,0,SD-double checked,,,,
94,4,S.adam,847,Field,106,H,D,24,0,SD-double checked,,,,
95,4,S.adam,847,Field,106,H,D,26,0,SD-double checked,,,,
96,4,S.adam,847,Field,106,H,D,20,0,SD-double checked,,,,
97,4,S.adam,847,Field,106,H,D,23,0,SD-double checked,,,,
98,4,S.adam,847,Field,106,H,D,22,0,SD-double checked,,,,
99,4,S.adam,847,Field,106,H,D,22,0,SD-double checked,,,,
100,4,S.adam,847,Field,106,H,D,20,0,SD-double checked,,,,
101,4,S.adam,847,Field,106,H,D,21,0,SD-double checked,,,,
102,4,S.adam,847,Field,106,H,D,18,0,SD-double checked,,,,
103,4,S.adam,847,Field,106,H,D,15,0,SD-double checked,,,,
104,4,S.adam,847,Field,106,H,D,24,0,SD-double checked,,,,
105,4,S.adam,847,Field,106,H,D,24,0,SD-double checked,,,,
106,4,S.adam,847,Field,106,H,D,18,0,SD-double checked,,,,
107,4,S.adam,847,Field,106,H,D,18,0,SD-double checked,,,,
108,4,S.adam,847,Field,106,H,D,11,0,SD-double checked,,,,
109,4,S.adam,847,Field,106,H,D,15,0,SD-double checked,,,,
110,4,S.adam,847,Field,106,H,D,23,0,SD-double checked,,,,
111,5,S.adam,847,Field,100,H,D,20,0,SD-double checked,,,,
112,5,S.adam,847,Field,100,H,D,17,0,SD-double checked,,,,
113,5,S.adam,847,Field,100,H,D,17,0,SD-double checked,,,,
114,5,S.adam,847,Field,100,H,D,20,0,SD-double checked,,,,
115,5,S.adam,847,Field,100,H,D,18,0,SD-double checked,,,,
116,5,S.adam,847,Field,100,H,D,9,0,SD-double checked,,,,
117,5,S.adam,847,Field,100,H,D,20,0,SD-double checked,,,,
118,5,S.adam,847,Field,100,H,D,23,0,SD-double checked,,,,
119,5,S.adam,847,Field,100,H,D,22,0,SD-double checked,,,,
120,5,S.adam,847,Field,100,H,D,16,0,SD-double checked,,,,
121,5,S.adam,847,Field,100,H,D,17,0,SD-double checked,,,,
122,5,S.adam,847,Field,100,H,D,21,0,SD-double checked,,,,
123,5,S.adam,847,Field,100,H,D,12,0,SD-double checked,,,,
124,5,S.adam,847,Field,100,H,D,14,0,SD-double checked,,,,
125,5,S.adam,847,Field,100,H,D,19,0,SD-double checked,,,,
126,5,S.adam,847,Field,100,H,D,17,0,SD-double checked,,,,
127,6,S.adam,847,Field,374,F,D,12,0,SD-double checked,,,,
128,6,S.adam,847,Field,374,F,D,12,0,SD-double checked,,,,
129,6,S.adam,847,Field,374,F,D,17,0,SD-double checked,,,,
130,6,S.adam,847,Field,374,F,D,7,0,SD-double checked,,,,
131,6,S.adam,847,Field,374,F,D,18,0,SD-double checked,,,,
132,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
133,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
134,6,S.adam,847,Field,374,F,D,13,0,SD-double checked,,,,
135,6,S.adam,847,Field,374,F,D,12,0,SD-double checked,,,,
136,6,S.adam,847,Field,374,F,D,14,0,SD-double checked,,,,
137,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
138,6,S.adam,847,Field,374,F,D,8,0,SD-double checked,,,,
139,6,S.adam,847,Field,374,F,D,12,0,SD-double checked,,,,
140,6,S.adam,847,Field,374,F,D,7,0,SD-double checked,,,,
141,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
142,6,S.adam,847,Field,374,F,D,12,0,SD-double checked,,,,
143,6,S.adam,847,Field,374,F,D,12,0,SD-double checked,,,,
144,6,S.adam,847,Field,374,F,D,8,0,SD-double checked,,,,
145,6,S.adam,847,Field,374,F,D,6,0,SD-double checked,,,,
146,6,S.adam,847,Field,374,F,D,14,0,SD-double checked,,,,
147,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
148,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
149,6,S.adam,847,Field,374,F,D,9,0,SD-double checked,,,,
150,6,S.adam,847,Field,374,F,D,5,0,SD-double checked,,,,
151,6,S.adam,847,Field,374,F,D,7,0,SD-double checked,,,,
152,6,S.adam,847,Field,374,F,D,12,0,SD-double checked,,,,
153,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
154,6,S.adam,847,Field,374,F,D,14,0,SD-double checked,,,,
155,6,S.adam,847,Field,374,F,D,11,0,SD-double checked,,,,
156,7,S.adam,847,Field,380,F,D,9,0,SD-double checked,,,,
157,7,S.adam,847,Field,380,F,D,9,0,SD-double checked,,,,
158,7,S.adam,847,Field,380,F,D,12,0,SD-double checked,,,,
159,7,S.adam,847,Field,380,F,D,13,0,SD-double checked,,,,
160,7,S.adam,847,Field,380,F,D,11,0,SD-double checked,,,,
161,7,S.adam,847,Field,380,F,D,8,0,SD-double checked,,,,
